Manisa,Saruhanlı,53684,55340,57935
Manisa,Sarıgöl,36206,35890,35125
Manisa,Selendi,21437,19871,18869
Manisa,Soma,105518,109946,110996
Manisa,Turgutlu,150460,166418,178386
Manisa,Yunusemre,204436,246440,269160
Manisa,Şehzadeler,166443,171138,166228
Mardin,Artuklu,151356,178154,197776
Mardin,Dargeçit,28601,27711,27406
Mardin,Derik,61320,61706,62401
Mardin,Kızıltepe,232628,256664,275640
Mardin,Mazıdağı,33070,36304,37470
Mardin,Midyat,105252,114763,124543
Mardin,Nusaybin,116068,108172,119499
Mardin,Savur,29026,26583,24294
Mardin,Yeşilli,17136,14695,12996
Mardin,Ömerli,14539,14026,14066
Mersin,Akdeniz,276058,262265,256292
Mersin,Anamur,63983,66068,66930
Mersin,Aydıncık,11241,11023,11500
Mersin,Bozyazı,26813,26595,26995
Mersin,Erdemli,132938,141476,155435
Mersin,Gülnar,26029,25420,40188
Mersin,Mezitli,164429,204240,225824
Mersin,Mut,62354,62639,63218
Mersin,Silifke,116180,120873,139852
Mersin,Tarsus,323961,342373,356937
Mersin,Toroslar,281130,303010,323271
Mersin,Yenişehir,233489,266117,279402
Mersin,Çamlıyayla,8650,8326,8435
Muğla,Bodrum,152440,175435,203035
Muğla,Dalaman,35958,42024,51088
Muğla,Datça,20156,22403,25866
Muğla,Fethiye,145643,162686,182280
Muğla,Kavaklıdere,10814,10792,10834
Muğla,Köyceğiz,34027,36926,41405
Muğla,Marmaris,88621,94749,99589
Muğla,Menteşe,102414,115059,124825
Muğla,Milas,132445,141107,150520
Muğla,Ortaca,44827,50027,57155
Muğla,Seydikemer,58771,61653,65861
Muğla,Ula,23610,25402,27392
Muğla,Yatağan,44783,44879,45217
Muş,Bulanık,83266,80643,70568
Muş,Hasköy,27240,26190,26336
Muş,Korkut,26431,24830,22076
Muş,Malazgirt,55804,50926,42135
Muş,Muş Merkez,186097,195323,202012
Muş,Varto,32378,30897,29174
Nevşehir,Acıgöl,19399,19362,19365
Nevşehir,Avanos,33875,32742,32098
Nevşehir,Derinkuyu,21432,20776,20971
Nevşehir,Gülşehir,22558,21468,21378
Nevşehir,Hacıbektaş,11426,11302,10886
Nevşehir,Kozaklı,14358,13379,12906
Nevşehir,Nevşehir Merkez,127891,148160,161293
Nevşehir,Ürgüp,35311,35821,39055
Niğde,Altunhisar,13706,12961,12593
Niğde,Bor,61388,60462,62346
Niğde,Niğde Merkez,205753,229121,240283
Niğde,Ulukışla,20842,20228,19534
Niğde,Çamardı,13944,12715,11975
Niğde,Çiftlik,28265,27374,25977
Ordu,Akkuş,24634,22192,21177
Ordu,Altınordu,195817,217640,234628
Ordu,Aybastı,23049,22027,20334
Ordu,Fatsa,108365,119094,128359
Ordu,Gölköy,29959,28332,25809
Ordu,Gülyalı,8384,8269,8837
Ordu,Gürgentepe,14314,14100,13459
Ordu,Kabadüz,8025,7347,7195
Ordu,Kabataş,10923,10617,10201
Ordu,Korgan,30392,28609,27250
Ordu,Kumru,31209,29945,28357
Ordu,Mesudiye,16576,16809,12944
Ordu,Perşembe,31702,31542,30558
